Name,Phone Number,Email,Water Bill,Electricity Bill,Rent,Grocery Bill,Maintenance,Food Expenditure,Entertainment Expenditure,EMIs,Other Payments,Loan Repayment,Loans Taken,Water Bill Delay (Days),Electricity Bill Delay (Days),Rent Delay (Days),Grocery Bill Delay (Days),Maintenance Delay (Days),Food Expenditure Delay (Days),Entertainment Expenditure Delay (Days),EMIs Delay (Days),Other Payments Delay (Days),Loan Repayment Delay (Days),Credit Score,Season,Mobile Recharges,Online Purchases,Transaction Count,Average Transaction Amount,Active Contacts,Social App Activity
Richard Jain,+916107420369,richardjain769@hotmail.com,291.97,3554.2,78713.42,5977.23,2494.81,4604.54,14993.49,3174.12,5332.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,800,Monsoon,5,7,71,778.89,156,107
Suresh Patel,+919163119785,sureshpatel114@outlook.com,590.19,1085.61,38802.07,1681.86,969.14,1882.81,13528.21,5536.43,2203.1,0.0,0.0,0,0,0,0,0,4,10,0,0,0,749,Summer,6,9,81,1109.56,142,60
Jennifer Davis,+916136505587,jenniferdavis40@gmail.com,480.82,20503.18,25460.0,5946.04,3252.69,857.23,22026.93,14548.16,3352.36,0.0,0.0,0,0,0,0,0,0,0,0,0,0,900,Monsoon,8,7,109,873.15,210,60
Suresh Gonzalez,+918585650756,sureshgonzalez37@outlook.com,274.5,1578.54,10620.28,4886.86,2082.02,5360.8,3977.97,4072.74,1466.69,762.82,38756.65,0,0,7,0,0,0,0,10,1,5,548,Monsoon,2,6,54,469.31,181,55
Melissa Anderson,+917801823908,melissaanderson235@example.com,761.27,8667.86,25982.19,4871.57,728.69,2859.25,18049.4,1538.08,4033.71,0.0,0.0,10,0,0,0,0,0,0,0,5,0,627,Winter,7,9,101,225.6,152,46
Aarav Reddy,+918998485882,aaravreddy442@hotmail.com,385.7,1694.26,44489.83,8018.98,2236.89,863.51,1479.0,2426.22,5594.08,0.0,0.0,0,0,0,0,4,0,3,0,0,0,643,Winter,11,7,124,160.01,191,1
Kavya Mishra,+919279182318,kavyamishra354@gmail.com,117.51,1451.2,63687.5,5814.27,3338.26,613.09,44499.19,21152.96,8897.15,5872.03,191570.81,0,0,2,0,0,0,0,0,0,4,589,Summer,8,3,82,1212.87,101,23
Manoj Yadav,+917541804686,manojyadav877@hotmail.com,107.69,2105.07,12819.97,2650.74,9562.0,3674.36,6147.04,2900.23,2686.38,23476.95,645898.43,0,0,2,0,0,0,0,0,0,0,744,Winter,5,3,104,568.81,142,50
Arjun Martinez,+918303082117,arjunmartinez137@example.com,598.4,2588.84,50597.31,9857.28,1371.52,1139.65,12877.97,8060.1,2298.81,0.0,0.0,0,0,0,0,0,0,0,7,0,0,714,Summer,4,9,86,2000.34,208,63
Lisa Malhotra,+919562265906,lisamalhotra653@outlook.com,275.4,584.8,78682.17,4882.79,4798.11,2194.25,21020.47,2655.92,2792.32,907.04,67722.2,0,0,0,0,0,0,0,0,5,0,680,Winter,4,3,86,2084.32,201,34
